id,url,тип_объявления,регион,статус_поиска,дата_публикации,тип_животного,пол,возраст,окрас,есть_фото,количество_фото,длина_описания,есть_контакты,количество_комментариев
92825627,https://pet911.ru/moskovskaya-oblast/lost/dog/rl1079367,потерян,Московская область,в поиске,"ср, 01.10.2025",собака,женский,9 лет,"белый, рыжий",да,4,41,да,1
88574239,https://pet911.ru/moskva/lost/dog/rl1079908,потерян,Москва,в поиске,"чт, 02.10.2025",собака,мужской,не указан,не указан,да,1,1,нет,1
3778539,https://pet911.ru/moskva/lost/dog/rl1079891,потерян,Москва,в поиске,"чт, 02.10.2025",собака,мужской,не указан,не указан,да,1,18,нет,3
15194529,https://pet911.ru/sankt-peterburg/lost/dog/rl1077867,потерян,Санкт-Петербург,в поиске,"вс, 28.09.2025",собака,мужской,8 мес,не указан,да,2,5,да,6
2471182,https://pet911.ru/lost/dog/rl1077341,потерян,Пропавшие,в поиске,"сб, 27.09.2025",собака,женский,8 мес,пятнистый,да,2,8,да,4
23034355,https://pet911.ru/sankt-peterburg/lost/dog/rl1078263,потерян,Санкт-Петербург,в поиске,"пн, 29.09.2025",собака,женский,8 мес,не указан,да,1,12,да,3
37957969,https://pet911.ru/sankt-peterburg/lost/dog/rl1077100,потерян,Санкт-Петербург,найден,"сб, 27.09.2025",собака,женский,8 мес,белый,да,1,7,да,4
7601734,https://pet911.ru/leningradskaya-oblast/lost/dog/rl1076998,потерян,Ленинградская область,в поиске,"сб, 27.09.2025",собака,женский,8 мес,бежевый,нет,0,9,да,3
87546226,https://pet911.ru/lomonosov/lost/dog/rl1076731,потерян,Ломоносов,найден,"пт, 26.09.2025",собака,женский,8 мес,коричневый,да,1,5,да,1
51351570,https://pet911.ru/sankt-peterburg/lost/dog/rl1076720,потерян,Санкт-Петербург,найден,"пт, 26.09.2025",собака,мужской,8 мес,"черный, рыжий, светлый",да,1,13,да,5
63631664,https://pet911.ru/sankt-peterburg/lost/dog/rl1076532,потерян,Санкт-Петербург,в поиске,"пт, 26.09.2025",собака,мужской,8 мес,"белый, черный",да,2,8,да,3
6839593,https://pet911.ru/moskva/lost/cat/rl1079818,потерян,Москва,в поиске,"чт, 02.10.2025",кошка,женский,9 мес,бежевый,да,2,24,нет,1
58064963,https://pet911.ru/moskva/lost/cat/rl1078554,потерян,Москва,в поиске,"пн, 29.09.2025",кошка,женский,месяц,"белый, рыжий, серый",да,4,39,да,5
95275837,https://pet911.ru/shcherbinka/lost/cat/rl1077745,потерян,Щербинка,в поиске,"вс, 28.09.2025",кошка,мужской,не указан,белый,да,4,8,да,3
59424686,https://pet911.ru/moskva/lost/cat/rl1078068,потерян,Москва,в поиске,"вс, 28.09.2025",кошка,мужской,12 мес,"белый, черный",да,2,15,да,3
66863967,https://pet911.ru/moskva/lost/cat/rl1077118,потерян,Москва,в поиске,"сб, 27.09.2025",кошка,мужской,12 мес,"белый, рыжий",да,9,116,да,3
95688191,https://pet911.ru/kaluzhskaya-oblast/lost/cat/rl1079083,потерян,Калужская область,в поиске,"вт, 30.09.2025",кошка,женский,лет,"белый, палевый",да,4,48,да,3
85455104,https://pet911.ru/moskovskaya-oblast/lost/cat/rl1078004,потерян,Московская область,в поиске,"вс, 28.09.2025",кошка,мужской,лет,белый,да,4,44,да,3
55264250,https://pet911.ru/moskva/lost/cat/rl1079607,потерян,Москва,в поиске,"ср, 01.10.2025",кошка,мужской,12 мес,серый,да,6,13,да,1
